"Player’s Name","Player’s State","Total Number of Points","Player’s Pre-Rating"," Average Pre Chess Rating"
" GARY HUA                        ","   ON ","1794","6.0  ",1605
" DAKSHESH DARURI                 ","   MI ","1553","6.0  ",1469
" ADITYA BAJAJ                    ","   MI ","1384","6.0  ",1564
" PATRICK H SCHILLING             ","   MI ","1716","5.5  ",1574
" HANSHI ZUO                      ","   MI ","1655","5.5  ",1501
" HANSEN SONG                     ","   OH ","1686","5.0  ",1519
" GARY DEE SWATHELL               ","   MI ","1649","5.0  ",1372
" EZEKIEL HOUGHTON                ","   MI ","1641","5.0  ",1468
" STEFANO LEE                     ","   ON ","1411","5.0  ",1523
" ANVIT RAO                       ","   MI ","1365","5.0  ",1554
" CAMERON WILLIAM MC LEMAN        ","   MI ","1712","4.5  ",1468
" KENNETH J TACK                  ","   MI ","1663","4.5  ",1506
" TORRANCE HENRY JR               ","   MI ","1666","4.5  ",1498
" BRADLEY SHAW                    ","   MI ","1610","4.5  ",1515
" ZACHARY JAMES HOUGHTON          ","   MI ","1220","4.5  ",1484
" MIKE NIKITIN                    ","   MI ","1604","4.0  ",1386
" RONALD GRZEGORCZYK              ","   MI ","1629","4.0  ",1499
" DAVID SUNDEEN                   ","   MI ","1600","4.0  ",1480
" DIPANKAR ROY                    ","   MI ","1564","4.0  ",1426
" JASON ZHENG                     ","   MI ","1595","4.0  ",1411
" DINH DANG BUI                   ","   ON ","1563","4.0  ",1470
" EUGENE L MCCLURE                ","   MI ","1555","4.0  ",1300
" ALAN BUI                        ","   ON ","1363","4.0  ",1214
" MICHAEL R ALDRICH               ","   MI ","1229","4.0  ",1357
" LOREN SCHWIEBERT                ","   MI ","1745","3.5  ",1363
" MAX ZHU                         ","   ON ","1579","3.5  ",1507
" GAURAV GIDWANI                  ","   MI ","1552","3.5  ",1222
" SOFIA ADINA STANESCUBELLU      ","   MI ","1507","3.5  ",1522
" CHIEDOZIE OKORIE                ","   MI ","1602","3.5  ",1314
" GEORGE AVERY JONES              ","   ON ","1522","3.5  ",1144
" RISHI SHETTY                    ","   MI ","1494","3.5  ",1260
" JOSHUA PHILIP MATHEWS           ","   ON ","1441","3.5  ",1379
" JADE GE                         ","   MI ","1449","3.5  ",1277
" MICHAEL JEFFERY THOMAS          ","   MI ","1399","3.5  ",1375
" JOSHUA DAVID LEE                ","   MI ","1438","3.5  ",1150
" SIDDHARTH JHA                   ","   MI ","1355","3.5  ",1388
" AMIYATOSH PWNANANDAM            ","   MI ","980","3.5  ",1385
" BRIAN LIU                       ","   MI ","1423","3.0  ",1539
" JOEL R HENDON                   ","   MI ","1436","3.0  ",1430
" FOREST ZHANG                    ","   MI ","1348","3.0  ",1391
" KYLE WILLIAM MURPHY             ","   MI ","1403","3.0  ",1248
" JARED GE                        ","   MI ","1332","3.0  ",1150
" ROBERT GLEN VASEY               ","   MI ","1283","3.0  ",1107
" JUSTIN D SCHILLING              ","   MI ","1199","3.0  ",1327
" DEREK YAN                       ","   MI ","1242","3.0  ",1152
" JACOB ALEXANDER LAVALLEY        ","   MI ","377","3.0  ",1358
" ERIC WRIGHT                     ","   MI ","1362","2.5  ",1392
" DANIEL KHAIN                    ","   MI ","1382","2.5  ",1356
" MICHAEL J MARTIN                ","   MI ","1291","2.5  ",1286
" SHIVAM JHA                      ","   MI ","1056","2.5  ",1296
" TEJAS AYYAGARI                  ","   MI ","1011","2.5  ",1356
" ETHAN GUO                       ","   MI ","935","2.5  ",1495
" JOSE C YBARRA                   ","   MI ","1393","2.0  ",1345
" LARRY HODGE                     ","   MI ","1270","2.0  ",1206
" ALEX KONG                       ","   MI ","1186","2.0  ",1406
" MARISA RICCI                    ","   MI ","1153","2.0  ",1414
" MICHAEL LU                      ","   MI ","1092","2.0  ",1363
" VIRAJ MOHILE                    ","   MI ","917","2.0  ",1391
" SEAN M MC CORMICK               ","   MI ","853","2.0  ",1319
" JULIA SHEN                      ","   MI ","967","1.5  ",1330
" JEZZEL FARKAS                   ","   ON ","955","1.5  ",1327
" ASHWIN BALAJI                   ","   MI ","1530","1.0  ",1186
" THOMAS JOSEPH HOSMER            ","   MI ","1175","1.0  ",1350
" BEN LI                          ","   MI ","1163","1.0  ",1263
